x, y, z,i,j,k, nx, ny, nz
-0.0997846, -0.425087, 0.63635, 0, 0, 0, 0, 0, 0
-0.0161812, -0.425087, 0.706501, 1, 0, 0, 0, 0, 0
0.0674222, -0.425087, 0.776653, 2, 0, 0, 0, 0, 0
0.151026, -0.425087, 0.846804, 3, 0, 0, 0, 0, 0
0.234629, -0.425087, 0.916956, 4, 0, 0, 0, 0, 0
0.318233, -0.425087, 0.987108, 5, 0, 0, 0, 0, 0
0.401836, -0.425087, 1.05726, 6, 0, 0, 0, 0, 0
-0.0997846, -0.287028, 0.63635, 0, 1, 0, 0, 0, 0
-0.0161812, -0.287028, 0.706501, 1, 1, 0, 0, 0, 0
0.0674222, -0.287028, 0.776653, 2, 1, 0, 0, 0, 0
0.151026, -0.287028, 0.846804, 3, 1, 0, 0, 0, 0
0.234629, -0.287028, 0.916956, 4, 1, 0, 0, 0, 0
0.318233, -0.287028, 0.987108, 5, 1, 0, 0, 0, 0
0.401836, -0.287028, 1.05726, 6, 1, 0, 0, 0, 0
-0.0997846, -0.14897, 0.63635, 0, 2, 0, 0, 0, 0
-0.0161812, -0.14897, 0.706501, 1, 2, 0, 0, 0, 0
0.0674222, -0.14897, 0.776653, 2, 2, 0, 0, 0, 0
0.151026, -0.14897, 0.846804, 3, 2, 0, 0, 0, 0
0.234629, -0.14897, 0.916956, 4, 2, 0, 0, 0, 0
0.318233, -0.14897, 0.987108, 5, 2, 0, 0, 0, 0
0.401836, -0.14897, 1.05726, 6, 2, 0, 0, 0, 0
-0.0997846, -0.0109117, 0.63635, 0, 3, 0, 0, 0, 0
-0.0161812, -0.0109117, 0.706501, 1, 3, 0, 0, 0, 0
0.0674222, -0.0109117, 0.776653, 2, 3, 0, 0, 0, 0
0.151026, -0.0109117, 0.846804, 3, 3, 0, 0, 0, 0
0.234629, -0.0109117, 0.916956, 4, 3, 0, 0, 0, 0
0.318233, -0.0109117, 0.987108, 5, 3, 0, 0, 0, 0
0.401836, -0.0109117, 1.05726, 6, 3, 0, 0, 0, 0
-0.0997846, 0.127147, 0.63635, 0, 4, 0, 0, 0, 0
-0.0161812, 0.127147, 0.706501, 1, 4, 0, 0, 0, 0
0.0674222, 0.127147, 0.776653, 2, 4, 0, 0, 0, 0
0.151026, 0.127147, 0.846804, 3, 4, 0, 0, 0, 0
0.234629, 0.127147, 0.916956, 4, 4, 0, 0, 0, 0
